fixedPlayerID,fixedBackgroundName,fixedBackgroundSeason,fixedBackgroundList,fixedBackgroundTeam,fixedBackgroundDraft,fixedBackgroundPick,fixedBackgroundAge,fixedBackgroundU18Champs,fixedBackgroundStateLeague,fixedPositionPosition,fixedBackgroundReserves,fixedSplitsRegularCBA,fixedSplitsRegularKICKIN,fixedSplitsH1CBA,fixedSplitsH1KICKIN,fixedSplitsH2CBA,fixedSplitsH2KICKIN,fixedSplitsLast5CBA,fixedSplitsLast5KICKIN,fixedSplitsFinalsCBA,fixedSplitsFinalsKICKIN,fixedPracticeCBA,fixedPracticeKICKIN,fixedPreseasonCBA,fixedPreseasonKICKIN,fixedBestMatches,fixedBestCBA,fixedBestTOG,fixed2022Matches,fixed2022CBA,fixed2022TOG,fixed2021Matches,fixed2021CBA,fixed2021TOG,fixed2020Matches,fixed2020CBA,fixed2020TOG,fixed2019Matches,fixed2019TOG,fixed2018Matches,fixed2018TOG,fixed2017Matches,fixed2017TOG
CD_I296296,Dom Sheed,10,Snr,WCE,2013 National,11,27,none,none,MID,84,88,0,none,none,88,0,none,none,none,none,none,none,none,none,24,88,83.13636364,1,88,74,22,65.72727273,83.13636364,17,54.74280765,80.23529412,24,81,18,78.9,21,73.3
CD_I291978,Harry Cunningham,12,Snr,SYD,2011 Rookie,93,29,none,none,DEF,108.75,0,0,0,0,0,0,none,none,none,none,none,none,none,none,25,0,85.42857143,9,0,80.22222222,21,0,85.42857143,17,0,84.58823529,9,80.7,23,83.6,11,78.1
CD_I1002253,Kane Farrell,6,Snr,PORT,2017 National,51,24,55,73 [NAB League],MID,78.5,0.5,6.3125,1.6,0,0,9.181818182,0,20.2,none,none,none,none,none,none,16,0.5,80.18181818,16,0.5,79.0625,10,0.5,70,11,0,80.18181818,7,79.1,5,69.7,none,none
CD_I998390,Changkuoth Jiath,6,Snr,HAW,2017 SSP,none,23,60.2,73 [NAB League],DEF,none,0,2.428571429,0,3.777777778,0,0,0,0,none,none,none,none,none,none,16,0,82.5,14,0,81.78571429,16,0,79.9375,5,0,75,2,82.5,zero,zero,none,none
CD_I997100,Will Hayward,7,Snr,SYD,2016 National,21,24,45,none,FWD,none,0,0,0,0,0,0,0,0,0,0,none,none,none,none,25,0,84.3125,25,0,83.12,19,0,81.84210526,16,0,84.3125,13,77.7,23,78.6,17,74.7
CD_I990740,Rory Lobb,10,Snr,WB,2013 National,29,30,none,none,FWD,none,20.10526316,0,22.33333333,0,16.28571429,0,6.333333333,0,13.5,0,none,none,none,none,24,33.50873463,97.57142857,21,19.47619048,97.57142857,13,17.61538462,92.92307692,17,33.50873463,97.23529412,15,91,19,82.1,20,84.7
CD_I1004965,Tristan Xerri,6,Snr,NMFC,2017 National,72,24,68.5,65 [NAB League],RUC,none,49.91666667,0,52.2,0,38.5,0,none,none,none,none,none,none,none,none,12,49.91666667,85.25,12,49.91666667,75.16666667,8,22.5,75.5,4,11.61967419,85.25,zero,zero,zero,zero,none,none
CD_I1004848,Dylan Stephens,4,Snr,SYD,2019 National,5,22,none,79 [SANFL League],MID,99.875,0,0,0,0,0,0,0,0,0,0,none,none,none,none,15,2.5,80.375,15,0,75.8,6,0.428571429,57.66666667,8,2.5,80.375,none,none,none,none,none,none
CD_I296035,Trent Dumont,10,Snr,PORT,2013 National,30,27,none,none,MID,85.8,2,0,2.285714286,0,0,0,none,none,none,none,none,none,none,none,22,48.04676606,87.6,8,2,71.25,14,0,79.92857143,17,48.04676606,82.35294118,21,87.6,22,81.4,19,76.8
CD_I291313,Jeremy Howe,13,Snr,COLL,2010 National,33,32,none,none,DEF,none,0,19.95238095,0,21.15384615,0,18,0,17.6,0,9.333333333,none,none,none,none,24,0,92.7,24,0,92.33333333,8,0,81.875,4,0,92,21,86.6,21,86.4,21,92.7
